,state,state_po,county_name,county_fips,totalvotes,candidatevotes_biden,candidatevotes_trump,per_biden,per_trump,per_diff,abs_per_diff,winner
2621,OKLAHOMA,OK,ALFALFA,40003.0,2262.0,232.0,1978.0,10.256410256410255,87.44473916887709,77.18832891246683,77.18832891246683,0
2622,OKLAHOMA,OK,ATOKA,40005.0,5389.0,765.0,4557.0,14.195583596214512,84.56114306921508,70.36555947300056,70.36555947300056,0
2623,OKLAHOMA,OK,BEAVER,40007.0,2178.0,190.0,1968.0,8.723599632690542,90.35812672176309,81.63452708907255,81.63452708907255,0
2624,OKLAHOMA,OK,BECKHAM,40009.0,7948.0,1048.0,6767.0,13.18570709612481,85.14091595369905,71.95520885757423,71.95520885757423,0
2625,OKLAHOMA,OK,BLAINE,40011.0,3901.0,688.0,3136.0,17.636503460651117,80.3896436811074,62.75314022045629,62.75314022045629,0
2626,OKLAHOMA,OK,BRYAN,40013.0,15976.0,3323.0,12344.0,20.799949924887333,77.26589884827241,56.465948923385085,56.465948923385085,0
2627,OKLAHOMA,OK,CADDO,40015.0,9859.0,2670.0,7013.0,27.08185414342225,71.13297494674916,44.05112080332691,44.05112080332691,0
2628,OKLAHOMA,OK,CANADIAN,40017.0,61940.0,16742.0,43550.0,27.029383274136258,70.30997739748143,43.280594123345175,43.280594123345175,0
2629,OKLAHOMA,OK,CARTER,40019.0,19479.0,4470.0,14699.0,22.947789927614355,75.46075260536989,52.51296267775554,52.51296267775554,0
2630,OKLAHOMA,OK,CHEROKEE,40021.0,17714.0,6027.0,11223.0,34.02393586993339,63.35666704301682,29.33273117308343,29.33273117308343,0
2631,OKLAHOMA,OK,CHOCTAW,40023.0,5832.0,1082.0,4698.0,18.55281207133059,80.55555555555556,62.002743484224965,62.002743484224965,0
2632,OKLAHOMA,OK,CIMARRON,40025.0,1054.0,70.0,970.0,6.641366223908918,92.0303605313093,85.38899430740038,85.38899430740038,0
2633,OKLAHOMA,OK,CLEVELAND,40027.0,119778.0,49827.0,66677.0,41.599458999148425,55.66715089582394,14.067691896675512,14.067691896675512,0
2634,OKLAHOMA,OK,COAL,40029.0,2524.0,374.0,2091.0,14.817749603803488,82.8446909667195,68.026941362916,68.026941362916,0
2635,OKLAHOMA,OK,COMANCHE,40031.0,35631.0,13747.0,20905.0,38.58157222643204,58.67082035306335,20.08924812663131,20.08924812663131,0
2636,OKLAHOMA,OK,COTTON,40033.0,2572.0,393.0,2117.0,15.279937791601867,82.3094867807154,67.02954898911354,67.02954898911354,0
2637,OKLAHOMA,OK,CRAIG,40035.0,6032.0,1217.0,4686.0,20.175729442970823,77.68567639257294,57.509946949602124,57.509946949602124,0
2638,OKLAHOMA,OK,CREEK,40037.0,30505.0,6577.0,23294.0,21.560399934436976,76.36125225372889,54.80085231929192,54.80085231929192,0
2639,OKLAHOMA,OK,CUSTER,40039.0,10691.0,2369.0,8060.0,22.158825180057992,75.39051538677393,53.23169020671594,53.23169020671594,0
2640,OKLAHOMA,OK,DELAWARE,40041.0,17245.0,3472.0,13557.0,20.133371991881706,78.61409104088142,58.48071904899972,58.48071904899972,0
2641,OKLAHOMA,OK,DEWEY,40043.0,2359.0,214.0,2124.0,9.07164052564646,90.03815175922001,80.96651123357356,80.96651123357356,0
2642,OKLAHOMA,OK,ELLIS,40045.0,1873.0,162.0,1688.0,8.649225840896957,90.12279765082755,81.47357180993059,81.47357180993059,0
2643,OKLAHOMA,OK,GARFIELD,40047.0,22430.0,4919.0,16970.0,21.93045028979046,75.65760142666072,53.72715113687026,53.72715113687026,0
2644,OKLAHOMA,OK,GARVIN,40049.0,10922.0,1865.0,8878.0,17.075627174510164,81.28547885002747,64.20985167551731,64.20985167551731,0
2645,OKLAHOMA,OK,GRADY,40051.0,23101.0,4144.0,18538.0,17.938617375871175,80.24760832864378,62.308990952772604,62.308990952772604,0
2646,OKLAHOMA,OK,GRANT,40053.0,2226.0,280.0,1916.0,12.578616352201259,86.07367475292004,73.49505840071879,73.49505840071879,0
2647,OKLAHOMA,OK,GREER,40055.0,1973.0,328.0,1605.0,16.624429802331477,81.34820070957932,64.72377090724784,64.72377090724784,0
2648,OKLAHOMA,OK,HARMON,40057.0,933.0,177.0,747.0,18.971061093247588,80.06430868167203,61.09324758842445,61.09324758842445,0
2649,OKLAHOMA,OK,HARPER,40059.0,1487.0,136.0,1327.0,9.145931405514458,89.24008069939475,80.09414929388029,80.09414929388029,0
2650,OKLAHOMA,OK,HASKELL,40061.0,5014.0,783.0,4165.0,15.616274431591542,83.06741124850419,67.45113681691265,67.45113681691265,0
2651,OKLAHOMA,OK,HUGHES,40063.0,4857.0,919.0,3875.0,18.921144739551163,79.78175828700844,60.86061354745728,60.86061354745728,0
2652,OKLAHOMA,OK,JACKSON,40065.0,8221.0,1646.0,6392.0,20.02189514657584,77.75209828488019,57.73020313830435,57.73020313830435,0
2653,OKLAHOMA,OK,JEFFERSON,40067.0,2385.0,319.0,2026.0,13.375262054507337,84.94758909853249,71.57232704402516,71.57232704402516,0
2654,OKLAHOMA,OK,JOHNSTON,40069.0,4251.0,738.0,3441.0,17.3606210303458,80.94565984474241,63.58503881439661,63.58503881439661,0
2655,OKLAHOMA,OK,KAY,40071.0,17249.0,4040.0,12834.0,23.421647631746765,74.40431329352425,50.98266566177749,50.98266566177749,0
2656,OKLAHOMA,OK,KINGFISHER,40073.0,6465.0,854.0,5521.0,13.209590100541377,85.39829853054911,72.18870843000774,72.18870843000774,0
2657,OKLAHOMA,OK,KIOWA,40075.0,3427.0,699.0,2673.0,20.39684855558798,77.99824919754887,57.60140064196089,57.60140064196089,0
2658,OKLAHOMA,OK,LATIMER,40077.0,4249.0,762.0,3437.0,17.9336314426924,80.88962108731467,62.955989644622264,62.955989644622264,0
2659,OKLAHOMA,OK,LE FLORE,40079.0,18805.0,3299.0,15213.0,17.54320659399096,80.89869715501197,63.355490561021014,63.355490561021014,0
2660,OKLAHOMA,OK,LINCOLN,40081.0,14888.0,2609.0,12013.0,17.524180548092424,80.68914562063408,63.164965072541655,63.164965072541655,0
2661,OKLAHOMA,OK,LOGAN,40083.0,21574.0,5455.0,15608.0,25.28506535644758,72.34634282006118,47.06127746361361,47.06127746361361,0
2662,OKLAHOMA,OK,LOVE,40085.0,4076.0,711.0,3305.0,17.443572129538765,81.08439646712463,63.64082433758587,63.64082433758587,0
2663,OKLAHOMA,OK,MCCLAIN,40087.0,19236.0,3582.0,15295.0,18.621334996880847,79.51237263464338,60.89103763776254,60.89103763776254,0
2664,OKLAHOMA,OK,MCCURTAIN,40089.0,11467.0,1858.0,9485.0,16.20301735414668,82.71561873201361,66.51260137786693,66.51260137786693,0
2665,OKLAHOMA,OK,MCINTOSH,40091.0,8335.0,2031.0,6172.0,24.367126574685063,74.0491901619676,49.68206358728254,49.68206358728254,0
2666,OKLAHOMA,OK,MAJOR,40093.0,3467.0,320.0,3084.0,9.22988174214018,88.95298528987597,79.72310354773579,79.72310354773579,0
2667,OKLAHOMA,OK,MARSHALL,40095.0,6064.0,1100.0,4891.0,18.139841688654354,80.65633245382587,62.51649076517151,62.51649076517151,0
2668,OKLAHOMA,OK,MAYES,40097.0,16626.0,3581.0,12749.0,21.538554071935522,76.68110188860821,55.14254781667269,55.14254781667269,0
2669,OKLAHOMA,OK,MURRAY,40099.0,5894.0,1156.0,4612.0,19.61316593145572,78.24906684764167,58.63590091618595,58.63590091618595,0
2670,OKLAHOMA,OK,MUSKOGEE,40101.0,25081.0,8027.0,16526.0,32.00430604840317,65.89051473226746,33.88620868386429,33.88620868386429,0
2671,OKLAHOMA,OK,NOBLE,40103.0,4938.0,1003.0,3821.0,20.311867152693395,77.379505872823,57.06763872012961,57.06763872012961,0
2672,OKLAHOMA,OK,NOWATA,40105.0,4391.0,712.0,3610.0,16.21498519699385,82.21361876565703,65.99863356866318,65.99863356866318,0
2673,OKLAHOMA,OK,OKFUSKEE,40107.0,4038.0,896.0,3058.0,22.18920257553244,75.73055968301139,53.54135710747895,53.54135710747895,0
2674,OKLAHOMA,OK,OKLAHOMA,40109.0,294740.0,141724.0,145050.0,48.0844133812852,49.21286557644025,1.1284521951550488,1.1284521951550488,0
2675,OKLAHOMA,OK,OKMULGEE,40111.0,14313.0,4357.0,9668.0,30.440857961293926,67.54698525815692,37.106127296862994,37.106127296862994,0
2676,OKLAHOMA,OK,OSAGE,40113.0,20538.0,6002.0,14121.0,29.223877690135357,68.75547765118317,39.53159996104782,39.53159996104782,0
2677,OKLAHOMA,OK,OTTAWA,40115.0,11438.0,2686.0,8545.0,23.48312642070292,74.70711662878125,51.223990208078334,51.223990208078334,0
2678,OKLAHOMA,OK,PAWNEE,40117.0,6786.0,1363.0,5267.0,20.085470085470085,77.61567933981726,57.53020925434718,57.53020925434718,0
